                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8031,                 3.6131,                  4.207,                0.00683,                0.15269,                0.00429,                0.00159,                 3.6578,                  3.577,                 4.1593,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.9629,                 3.5861,                 4.1898,                0.00708,                0.15506,                0.00431,                0.00151,                 3.6573,                 3.5652,                 4.1569,             0.00021956,             0.00021956,             0.00021956
                      3,                 3.9196,                 3.4754,                 4.1473,                0.00698,                0.15427,                0.00572,                0.00202,                 3.6554,                  3.554,                 4.1515,             0.00033865,             0.00033865,             0.00033865
                      4,                 3.7761,                 3.1994,                 4.1032,                  0.007,                0.15506,                0.00637,                0.00232,                 3.6537,                  3.542,                 4.1431,             0.00045727,             0.00045727,             0.00045727
                      5,                 3.7254,                 2.9931,                 4.0581,                0.00715,                0.15823,                0.00595,                0.00194,                 3.6492,                 3.5342,                 4.1331,             0.00057541,             0.00057541,             0.00057541
                      6,                 3.6688,                 2.8958,                 3.9689,                0.00747,                0.16614,                0.00713,                 0.0022,                 3.6436,                 3.5312,                   4.12,             0.00069307,             0.00069307,             0.00069307
                      7,                 3.5861,                 2.7166,                 3.8551,                0.00765,                0.17009,                0.00537,                0.00183,                 3.6336,                 3.4712,                 4.0984,             0.00081026,             0.00081026,             0.00081026
                      8,                 3.5727,                 2.6194,                 3.7254,                0.00789,                0.17801,                 0.0076,                0.00252,                 3.6128,                 3.4263,                 4.0702,             0.00092697,             0.00092697,             0.00092697
                      9,                 3.5081,                 2.5814,                 3.7019,                0.00702,                0.15823,                0.01069,                0.00436,                 3.5955,                 3.3279,                 4.0243,              0.0010432,              0.0010432,              0.0010432
                     10,                 3.3993,                  2.524,                 3.5667,                0.00796,                0.17959,                0.00671,                0.00243,                 3.5827,                 3.2186,                 3.9527,               0.001159,               0.001159,               0.001159
                     11,                 3.3045,                  2.472,                 3.4762,                0.01076,                0.08228,                0.00676,                0.00253,                 3.5996,                 3.4204,                 3.9845,              0.0012743,              0.0012743,              0.0012743
                     12,                 3.3091,                 2.5166,                 3.4409,                0.02058,                0.05063,                0.00824,                0.00304,                  3.584,                 3.3863,                 3.9784,              0.0013891,              0.0013891,              0.0013891
                     13,                  3.212,                  2.488,                 3.3592,                0.02008,                0.03244,                0.00876,                0.00324,                 3.5642,                 5.0511,                 3.9146,              0.0015034,              0.0015034,              0.0015034
                     14,                 3.0857,                 2.4795,                 3.3085,                0.01586,                0.04193,                0.00828,                0.00281,                 3.5653,                  7.984,                 3.8119,              0.0016173,              0.0016173,              0.0016173
                     15,                 3.0682,                  2.501,                 3.2123,                0.01208,                0.27136,                0.00893,                0.00312,                 3.3997,                 5.2437,                 3.5733,              0.0017307,              0.0017307,              0.0017307
                     16,                 2.9872,                 2.4187,                  3.114,                0.01712,                0.05222,                0.01004,                0.00353,                 3.3853,                 3.3932,                 3.5598,              0.0018436,              0.0018436,              0.0018436
                     17,                 2.9708,                 2.4057,                 3.0896,                0.01183,                0.13924,                0.00734,                0.00244,                 3.4612,                 3.3782,                 3.6574,              0.0019366,              0.0019366,              0.0019366
                     18,                  2.962,                 2.4481,                 3.0107,                0.01512,                0.34098,                0.01207,                0.00335,                 3.6152,                 3.3769,                  3.904,              0.0019327,              0.0019327,              0.0019327
                     19,                 2.8894,                 2.4466,                 3.0666,                0.01404,                0.31646,                0.01139,                0.00345,                 3.4936,                 3.1493,                 3.7713,              0.0019287,              0.0019287,              0.0019287
                     20,                 2.8469,                 2.3646,                 3.0095,                0.01649,                0.07358,                0.00955,                0.00361,                 3.3011,                 6.6512,                 3.5602,              0.0019248,              0.0019248,              0.0019248
                     21,                   2.81,                 2.4184,                 2.9764,                0.02059,                 0.1788,                0.01314,                0.00463,                 3.1837,                 7.1103,                 3.4218,              0.0019208,              0.0019208,              0.0019208
                     22,                 2.7784,                 2.2537,                 2.8453,                0.01007,                0.22706,                0.00623,                0.00198,                 3.5402,                    inf,                 3.6647,              0.0019168,              0.0019168,              0.0019168
                     23,                 2.7997,                   2.41,                 2.9301,                  0.011,                0.24367,                0.00696,                0.00227,                 3.4947,                 6.0839,                 3.8204,              0.0019129,              0.0019129,              0.0019129
                     24,                 2.7338,                 2.2995,                 2.8237,                0.23441,                0.09098,                0.07386,                0.02407,                 3.1323,                 2.8169,                 3.4261,              0.0019089,              0.0019089,              0.0019089
                     25,                 2.6958,                 2.3303,                  2.798,                0.23482,                0.15111,                0.10915,                0.03639,                 2.8856,                 2.6925,                 3.2399,               0.001905,               0.001905,               0.001905
                     26,                   2.69,                 2.2845,                 2.7919,                0.24927,                0.22706,                0.15627,                 0.0494,                 2.6262,                 2.4898,                 2.9065,               0.001901,               0.001901,               0.001901
